name;twitter;Group ID;Chamber
AMORUSO Francesco Maria;Framoruso;AL-A;Senate
ARACRI Francesco;AracriFrancesco;FI-PDL;Senate
ARRIGONI Paolo;arrigoni_paolo;LEGA;Senate
ASTORRE Bruno;BrunoAstorre;PD;Senate
Airola Alberto;AlbertoAirola;M5S;Senate
Albano Donatella;DonatellaAlbano;PD;Senate
Anitori Fabiola;fabiolaanitori;AP;Senate
BERNINI Anna Maria;BerniniAM;FI-PDL;Senate
BERTACCO Stefano;BertaccoS;FI-PDL;Senate
BERTUZZI Maria Teresa;mtbertuzzi;PD;Senate
BIANCONI Laura;lauradicesena;AP;Senate
BISINELLA Patrizia;PBisinella;MISTO;Senate
BONDI Sandro;sandrobondi;MISTO;Senate
BORIOLI Daniele Gaetano;DanieleBorioli;PD;Senate
BROGLIA Claudio;Claudio_Broglia;PD;Senate
BUBBICO Filippo;filippobubbico;MISTO;Senate
BUEMI Enrico;BUEMIENRICO;GAL;Senate
Battista Lorenzo;lor_bat;MISTO;Senate
Bencini Alessandra;alessandrabenci;MISTO;Senate
Bertorotta Ornella;OBertorotta;M5S;Senate
Bianco Amedeo;bianco_amedeo;PD;Senate
Bignami Laura;LauraBignami1;MISTO;Senate
Blundo Rosetta Enza;enzablundo1;M5S;Senate
Bocchino Fabrizio;fbocchino;MISTO;Senate
Bottici Laura;LauraBottici;M5S;Senate
Buccarella Maurizio;MBuccarella;M5S;Senate
Bulgarelli Elisa;bulgarellielisa;M5S;Senate
CALEO Massimo;Massimo_Caleo;PD;Senate
CANDIANI Stefano;CandianiStefano;LEGA;Senate
CANTINI Laura;CantiniL;PD;Senate
CASINI Pier Ferdinando;Pierferdinando;AP;Senate
CASSANO Massimo;MassimoCassano;AP;Senate
CERONI Remigio;RemigioCeroni;FI-PDL;Senate
CHIAVAROLI Federica;fedechiavaroli;AP;Senate
CHITI Vannino;VanninoChiti;PD;Senate
CIRINNA' Monica;MonicaCirinna;PD;Senate
CONTE Franco;francoconte52;AP;Senate
CORSINI Paolo;PaoloCorsini2;MISTO;Senate
CRIMI Vito Claudio;vitocrimi;M5S;Senate
Campanella Francesco;cicci1;MISTO;Senate
Capacchione Rosaria;RosCapacchione;PD;Senate
Cappelletti Enrico;e_cappelletti;M5S;Senate
Casaletto Monica;mcasa68;GAL;Senate
Castaldi Gianluca;gianlucavasto;M5S;Senate
Catalfo Nunzia;CatalfoNunzia;M5S;Senate
Centinaio Gian Marco;giamma71;LEGA;Senate
Cioffi Andrea;andrea_cioffi;M5S;Senate
Cociancich Roberto;corsaro_rosso;PD;Senate
Collina Stefano;CollinaStefano;PD;Senate
Cucca Giuseppe Luigi;GiuseppeLuigiCu;PD;Senate
D'ADDA Erica;ericadadda;PD;Senate
D'ALI' Antonio;daliantonio;FI-PDL;Senate
D'ANNA Vincenzo;vincenzodanna51;AL-A;Senate
D'Ascola Vincenzo Mario Domenico;NICODASCOLA;AP;Senate
D'Onghia Angela;Angela_Donghia;GAL;Senate
DAVICO Michelino;michdavico;GAL;Senate
DE BIASI Emilia Grazia;EmiliaDeBiasi;PD;Senate
DE CRISTOFARO Peppe;pepdecr;MISTO;Senate
DE PETRIS Loredana;PetrisDe;MISTO;Senate
DE POLI Antonio;AntonioDePoli;MISTO;Senate
DE SIANO Domenico;DomenicoDeSiano;FI-PDL;Senate
DEL BARBA Mauro;emmedibi;PD;Senate
DELLA VEDOVA Benedetto;bendellavedova;MISTO;Senate
DI BIAGIO Aldo;AldoDiBiagio;AP;Senate
DI GIORGI Rosa Maria;RosaMDiGiorgi;PD;Senate
DIVINA Sergio;SergioDivina;LEGA;Senate
De Pin Paola;paoladepin;GAL;Senate
Donno Daniela;DanielaDonno;M5S;Senate
ESPOSITO Giuseppe;peppexpo;MISTO;Senate
ESPOSITO Stefano;stefanoesposito;PD;Senate
FASIOLO Laura;fasiolo_laura;PD;Senate
FAVERO Nicoletta;NicolettaFavero;PD;Senate
FILIPPI Marco;marcofilippi_li;PD;Senate
FILIPPIN Rosanna;FilippinRosanna;PD;Senate
FINOCCHIARO Anna;FinocchiaroAnna;PD;Senate
FISSORE Elena;Elena_Fissore;PD;Senate
FORMIGONI Roberto;r_formigoni;AP;Senate
FORNARO Federico;Fornaro62;MISTO;Senate
FRAVEZZI Vittorio;VFravezzi;GAL;Senate
Fabbri Camilla;camillafabbripd;PD;Senate
Fattorini Emma;EmmaFattorini;PD;Senate
Fedeli Valeria;valeriafedeli;PD;Senate
Fucksia Serenella;SFUCKSIA;MISTO;Senate
GASPARRI Maurizio;gasparripdl;FI-PDL;Senate
GIBIINO Vincenzo;gibiino_v;FI-PDL;Senate
GIOVANARDI Carlo;SenGiovanardi;GAL;Senate
GIRO Francesco Maria;fgiro3;FI-PDL;Senate
Gaetti Luigi;LuigiGaetti;M5S;Senate
Galimberti Paolo;paogalimberti;FI-PDL;Senate
Giannini Stefania;SteGiannini;PD;Senate
Girotto Gianni;GianniGirotto;M5S;Senate
Gotor Miguel;GotorMiguel;MISTO;Senate
Grasso Pietro;PietroGrasso;PD;Senate
Gualdani Marcello;GualdaniMarcell;AP;Senate
Guerra Maria Cecilia;mceciguerra;MISTO;Senate
Guerrieri Paleotti Paolo;PaoloGuerrieriP;PD;Senate
ICHINO Pietro;PietroIchino;PD;Senate
IDEM Josefa;josefaidem;PD;Senate
LAI Bachisio Silvio;silviolai;PD;Senate
LANGELLA Pietro;Langella_Pietro;AL-A;Senate
LANIECE Albert;albertlaniece;GAL;Senate
LANZILLOTTA Linda;l_lanzillotta;PD;Senate
LATORRE Nicola;Latorrenicola;PD;Senate
LEPRI Stefano;stefanolepri;PD;Senate
LO GIUDICE Sergio;SergioLoGiudice;PD;Senate
LONGO Eva;;AL-A;Senate
LUMIA Giuseppe;Giuseppe_Lumia;PD;Senate
Lezzi Barbara;barbaralezzi;M5S;Senate
Lucidi Stefano;sfnlcd;M5S;Senate
MALAN Lucio;luciomalan;FI-PDL;Senate
MANASSERO Patrizia;patriziamanas;PD;Senate
MANCUSO Bruno;bmancuso8;AP;Senate
MANDELLI Andrea;mandelli_andrea;FI-PDL;Senate
MARAN Alessandro;MaranAlessandro;PD;Senate
MARGIOTTA Salvatore;s_margiotta;PD;Senate
MARIN Marco;Marin63Marco;FI-PDL;Senate
MARINO Mauro Maria;mauro_m_marino;PD;Senate
MAURO Giovanni;GiovanniMauro62;GAL;Senate
MAURO Mario;MarioMauro;FI-PDL;Senate
MAZZONI Riccardo;MazzoniRiccardo;AL-A;Senate
MILO Antonio;SenAntonioMilo;AL-A;Senate
MIRABELLI Franco;FraMirabelli;PD;Senate
MONTI Mario;SenatoreMonti;MISTO;Senate
MOSCARDELLI Claudio;ClaMoscardelli;PD;Senate
MUNERATO Emanuela;ManuMunerato;MISTO;Senate
Manconi Luigi;LuigiManconi1;PD;Senate
Marcucci Andrea;AndreaMarcucci;PD;Senate
Marino Luigi;SenLuigiMarino;AP;Senate
Martelli Carlo;Carlo_Martelli;M5S;Senate
Mattesini Donatella;donemattesini;PD;Senate
Mineo Corradino;CorradinoMineo;MISTO;Senate
Minzolini Augusto;AugustoMinzolin;FI-PDL;Senate
Molinari Francesco;francobrando;MISTO;Senate
Montevecchi Michela;m_montevecchi;M5S;Senate
Moronese Vilma;vilmamoronese;M5S;Senate
Morra Nicola;NicolaMorra63;M5S;Senate
Mucchetti Massimo;vado_al_massimo;PD;Senate
Mussini Maria;MariaMussini;MISTO;Senate
NENCINI Riccardo;nencinipsi;GAL;Senate
Nugnes Paola;paolanugnes1;M5S;Senate
Olivero Andrea;AndreaOlivero;GAL;Senate
Orellana Luis Alberto;luisorel;GAL;Senate
Orrù Pamela;pamela_orr;PD;Senate
PADUA Venera;VeneraPadua;PD;Senate
PANIZZA Franco;panizza_f;GAL;Senate
PARENTE Annamaria;Am_Parente;PD;Senate
PEGORER Carlo;CarloPegorerPD;MISTO;Senate
PETRAGLIA Alessia;ale_petraglia;MISTO;Senate
PEZZOPANE Stefania;stefaniapezzopa;PD;Senate
PIGNEDOLI Leana;LeanaPignedoli;PD;Senate
PINOTTI Roberta;robertapinotti;PD;Senate
PUPPATO Laura;LauraPuppato;PD;Senate
Pagliari Giorgio;PAGLIARIG;PD;Senate
Paglini Sara;sarapaglinicarr;M5S;Senate
Palermo Francesco;franzpalermo;GAL;Senate
Pepe Bartolomeo;BartolomeoPepe;GAL;Senate
Petrocelli Vito;vitopetrocelli;M5S;Senate
Puglia Sergio;sergiopuglia;M5S;Senate
Puglisi Francesca;PuglisiPD;PD;Senate
Quagliariello Gaetano;QuagliarielloG;GAL;Senate
RAZZI Antonio;senantoniorazzi;FI-PDL;Senate
REPETTI Manuela;manuela_repetti;MISTO;Senate
RICCHIUTI Lucrezia;LucrezRicchiuti;MISTO;Senate
RIZZOTTI Maria;Maria_Rizzotti;FI-PDL;Senate
ROMANI Paolo;_paolo_romani_;FI-PDL;Senate
Romani Maurizio;Mau3112;MISTO;Senate
Romano Lucio;LucioRomano02;GAL;Senate
Russo Francesco;francescorusso;PD;Senate
SACCONI Maurizio;MaurizioSacconi;AP;Senate
SAGGESE Angelica;asagge;PD;Senate
SCALIA Francesco;f_scalia;PD;Senate
SCHIFANI Renato Giuseppe;RenatoSchifani;FI-PDL;Senate
STEFANO Dario;DarioStefano;MISTO;Senate
STUCCHI Giacomo;giacomos;LEGA;Senate
SUSTA Gianluca;GianlucaSusta;PD;Senate
Santini Giorgio;gsantini1;PD;Senate
Scibona Marco;loscibo;M5S;Senate
Scoma Francesco;francesco_scoma;FI-PDL;Senate
